Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
534816,INDUSTOWER,Indus Towers Ltd,24 Jul 2014,Final Dividend - Rs. - 4.4000,-,26 Jul 2014,04 Aug 2014,21 Jul 2014,24 Jul 2014,-
534816,INDUSTOWER,Indus Towers Ltd,24 Jul 2014,Final Dividend - Rs. - 4.4000,-,26 Jul 2014,04 Aug 2014,21 Jul 2014,24 Jul 2014,-
534816,INDUSTOWER,Indus Towers Ltd,24 Jul 2014,Interim Dividend - Rs. - 4.5000,-,26 Jul 2014,04 Aug 2014,21 Jul 2014,24 Jul 2014,-
534816,INDUSTOWER,Indus Towers Ltd,24 Jul 2014,Interim Dividend - Rs. - 4.5000,-,26 Jul 2014,04 Aug 2014,21 Jul 2014,24 Jul 2014,-
532209,J&KBANK,JAMMU & KASHMIR BANK LTD.,24 Jul 2014,Dividend - Rs. - 50.0000,-,28 Jul 2014,02 Aug 2014,21 Jul 2014,25 Jul 2014,-
500264,MAFATIND,MAFATLAL INDUSTRIES LTD.-$,24 Jul 2014,Dividend - Rs. - 3.0000,-,28 Jul 2014,01 Aug 2014,21 Jul 2014,25 Jul 2014,-
531680,MAYUR,MAYUR LEATHER PRODUCTS LTD.,24 Jul 2014,Final Dividend - Rs. - 0.5000,-,28 Jul 2014,30 Jul 2014,21 Jul 2014,25 Jul 2014,-
506579,ORIENTCQ,ORIENTAL CARBON & CHEMICALS LTD.-$,24 Jul 2014,Final Dividend - Rs. - 5.0000,-,26 Jul 2014,30 Jul 2014,21 Jul 2014,24 Jul 2014,-
532661,RML,RANE (MADRAS) LTD.,24 Jul 2014,Dividend - Rs. - 5.5000,-,26 Jul 2014,31 Jul 2014,21 Jul 2014,24 Jul 2014,08 Aug 2014
506655,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LTD.,24 Jul 2014,Dividend - Rs. - 15.0000,-,28 Jul 2014,09 Aug 2014,21 Jul 2014,25 Jul 2014,-
